source_prefecture,source_municipality,source_district,source_name,corrected_prefecture,corrected_municipality,notes
栃木県,逆田市,,,埼玉県,蓮田市,PDF OCR typo for 蓮田市 and carried prefecture
愛知県,衘群町,,,愛知県,海部郡蟹江町,PDF OCR typo for 蟹江町
鳥取県,芩浦町,,,鳥取県,東伯郡琴浦町,PDF OCR typo for 琴浦町
鹿児島県,落島町,,,熊本県,上益城郡嘉島町,PDF OCR typo for 嘉島町 and carried prefecture
沖縄県,時後高田市,,,大分県,豊後高田市,PDF OCR typo for 豊後高田市 and carried prefecture
沖縄県,沖綢市,,,沖縄県,沖縄市,PDF OCR typo for 沖縄市
北海道,,,函館昭和タウンプラザ,北海道,函館市,Facility-name alias for municipality-missing OCR row
北海道,,,ボールスターショッピングセンター,北海道,函館市,Facility-name alias for municipality-missing OCR row
北海道,,,フレスポ函館戸蔵,北海道,函館市,Facility-name alias for municipality-missing OCR row
北海道,,,ウイングベイ小樽,北海道,小樽市,Facility-name alias for municipality-missing OCR row
宮城県,,,ラビナ、&LOVINA,青森県,青森市,Facility-name alias and carried prefecture
宮城県,,,CiiNA CiiNA青森(シーナシーナ森),青森県,青森市,Facility-name alias and carried prefecture
宮城県,,,フェスティバルシティ・アウガ,青森県,青森市,Facility-name alias and carried prefecture
宮城県,,,ラ・セラ東バイバスSC(ユニバース東バイバス店),青森県,青森市,Facility-name alias and carried prefecture
宮城県,,,ガーラタウン,青森県,青森市,Facility-name alias and carried prefecture
宮城県,,,ドリームタウンALi(ドリームタウンアリー),青森県,青森市,Facility-name alias and carried prefecture
宮城県,,,イオンタウン青森浜田,青森県,青森市,Facility-name alias and carried prefecture
宮城県,,,THREE,青森県,青森市,Facility-name alias and carried prefecture
東京都,,,イオンタウン成田富里,千葉県,成田市,Facility-name alias and carried prefecture
東京都,,坦島区,池袋ショッピングパーク,東京都,豊島区,Facility-name alias for OCR typo
東京都,,坦島区,池袋東武ホープセンター,東京都,豊島区,Facility-name alias for OCR typo
東京都,,坦島区,池袋PARCO,東京都,豊島区,Facility-name alias for OCR typo
東京都,,坦島区,サンシャインシティ(アルパ・ALTA(アルタ)),東京都,豊島区,Facility-name alias for OCR typo
東京都,,坦島区,立川パークアベニュー,東京都,立川市,Facility-name alias for OCR typo
東京都,,坦島区,若葉ケヤキモール,東京都,立川市,Facility-name alias for OCR typo
東京都,,坦島区,エキュート立川,東京都,立川市,Facility-name alias for OCR typo
東京都,,坦島区,三井ショッピングバーク ららぽーと立川立飛,東京都,立川市,Facility-name alias for OCR typo
東京都,,坦島区,MEGAドン・キホーテ立川店,東京都,立川市,Facility-name alias for OCR typo
東京都,,坦島区,立川商島屋S.C.,東京都,立川市,Facility-name alias for OCR typo
新潟県,,,bono相模大野(ボーノ相模大野),神奈川県,相模原市南区,Facility-name alias and carried prefecture
新潟県,,,ニトリモール相模原,神奈川県,相模原市南区,Facility-name alias and carried prefecture
新潟県,,,minanoba相模原(ミナノバ相模原),神奈川県,相模原市中央区,Facility-name alias and carried prefecture
石川県,,,ビバモール甲斐敷島,山梨県,甲斐市,Facility-name alias and carried prefecture
岐阜県,,,ザザシティ ハママツ,静岡県,浜松市中央区,Facility-name alias and carried prefecture
岐阜県,,,浜松プラザ,静岡県,浜松市中央区,Facility-name alias and carried prefecture
岐阜県,,,イオン浜松西店,静岡県,浜松市中央区,Facility-name alias and carried prefecture
岐阜県,,,イオンタウン浜松葵,静岡県,浜松市中央区,Facility-name alias and carried prefecture
岐阜県,,,イオンモール浜松志都呂,静岡県,浜松市中央区,Facility-name alias and carried prefecture
岐阜県,,,イオンモール浜松市野,静岡県,浜松市中央区,Facility-name alias and carried prefecture
岐阜県,,,イオンタウン浜松新橋,静岡県,浜松市中央区,Facility-name alias and carried prefecture
岐阜県,,,遠鉄ショッピングタウン リブロス笠井,静岡県,浜松市中央区,Facility-name alias and carried prefecture
三重県,,,ヴェルサウォーク西尾,愛知県,西尾市,Facility-name alias and carried prefecture
三重県,,,グラッチェタウン西尾,愛知県,西尾市,Facility-name alias and carried prefecture
滋賀県,,,アピタ長久手店,愛知県,長久手市,Facility-name alias and carried prefecture
京都府,,,コムズガーデン,大阪府,大阪市都島区,Facility-name alias and carried prefecture
京都府,,,ベルファ部島ショッピングセンター,大阪府,大阪市都島区,Facility-name alias and carried prefecture
京都府,,,関西スーパー内代店,大阪府,大阪市都島区,Facility-name alias and carried prefecture
和歌山県,,,イオンタウン東加古川,兵庫県,加古川市,Facility-name alias and carried prefecture
岡山県,,,イオンモール大和郡山,奈良県,大和郡山市,Facility-name alias and carried prefecture
島根県,,,イオンモール猪名川,兵庫県,川辺郡猪名川町,Facility-name alias and carried prefecture
山口県,,,シャレオ,広島県,広島市中区,Facility-name alias and carried prefecture
高知県,,,イオンモール徳島,徳島県,徳島市,Facility-name alias and carried prefecture
高知県,,,ショッピングプラザ タクト,徳島県,徳島市,Facility-name alias and carried prefecture
高知県,,,マルナカ徳島店,徳島県,徳島市,Facility-name alias and carried prefecture
佐賀県,,,BiVi福岡(ビビ福岡),福岡県,福岡市中央区,Facility-name alias and carried prefecture
佐賀県,,,VIORO (ヴィオロ),福岡県,福岡市中央区,Facility-name alias and carried prefecture
佐賀県,,,福岡PARCO,福岡県,福岡市中央区,Facility-name alias and carried prefecture
佐賀県,,,福岡三越、ラシック福岡天神,福岡県,福岡市中央区,Facility-name alias and carried prefecture
佐賀県,,,六本松421,福岡県,福岡市中央区,Facility-name alias and carried prefecture
佐賀県,,,MARK IS 福岡ももち,福岡県,福岡市中央区,Facility-name alias and carried prefecture
佐賀県,,,カイタックスクエアガーデン キテラタウン福岡長浜,福岡県,福岡市中央区,Facility-name alias and carried prefecture
佐賀県,,,ONE FUKUOKA BLDG.(ワン・フクオカ・ビルディング),福岡県,福岡市中央区,Facility-name alias and carried prefecture
長崎県,,,イオン原店,福岡県,福岡市早良区,Facility-name alias and carried prefecture
熊本県,,,(ハイパーモールメルクス宇佐),大分県,宇佐市,Facility-name alias and carried prefecture
宮崎県,,,COCOSA (ココサ),熊本県,熊本市中央区,Facility-name alias and carried prefecture
宮崎県,,,SAKURA MACHI Kumamoto,熊本県,熊本市中央区,Facility-name alias and carried prefecture
宮崎県,,,HAB@熊本,熊本県,熊本市中央区,Facility-name alias and carried prefecture
鹿児島県,,,イオンタウン荒尾,熊本県,荒尾市,Facility-name alias and carried prefecture
沖縄県,,,パークプレイス大分,大分県,大分市,Facility-name alias and carried prefecture
沖縄県,,,フリーモールサンリブわさだ店,大分県,大分市,Facility-name alias and carried prefecture
沖縄県,,,フレスポ春日浦,大分県,大分市,Facility-name alias and carried prefecture
沖縄県,,,コムボックス大分,大分県,大分市,Facility-name alias and carried prefecture
沖縄県,,,アクロスプラザ森町,大分県,大分市,Facility-name alias and carried prefecture
沖縄県,,,アミュプラザおおいた,大分県,大分市,Facility-name alias and carried prefecture
沖縄県,,,KCA・アクロスプラザ大分駅南,大分県,大分市,Facility-name alias and carried prefecture
沖縄県,,,大分オーパ,大分県,大分市,Facility-name alias and carried prefecture
沖縄県,,,イオン那覇ショッピングセンター,沖縄県,那覇市,Facility-name alias
沖縄県,,,サンエー那覇メインプレイス,沖縄県,那覇市,Facility-name alias
沖縄県,,,天久りうぼう楽市,沖縄県,那覇市,Facility-name alias
沖縄県,,,CARGOES (カーゴス),沖縄県,那覇市,Facility-name alias
沖縄県,,,ドン・キホーテ田際通り店,沖縄県,那覇市,PDF OCR typo for 国際通り店
沖縄県,,,バレットくもじ,沖縄県,那覇市,PDF OCR typo for パレットくもじ
沖縄県,,,コーブあっぷるタウン,沖縄県,那覇市,PDF OCR typo for コープあっぷるタウン
山梨県,,,あさひショッピングセンターアスカ,富山県,下新川郡朝日町,Facility-name alias and carried prefecture
