source_name,source_prefecture,source_municipality,result_status,matched_name,matched_prefecture,matched_municipality,address,lat,lon,source_url,notes
スーパーセンターオークワ南紀店,和歌山県,新宮市,found_google_maps_preferred,スーパーセンターオークワ南紀店,和歌山県,新宮市,和歌山県新宮市佐野3丁目11-19,33.675969,135.96988,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%AF%E3%83%AF%E5%8D%97%E7%B4%80%E5%BA%97,Google Maps名称検索で施設一致。住所確認後に町丁目代表点で座標補助
三井ショッピングパーク ららぽーとTOKYO-BAY,千葉県,船橋市,found_google_maps_preferred,三井ショッピングパーク ららぽーとTOKYO-BAY,千葉県,船橋市,千葉県船橋市浜町2-1-1,35.683594,139.988524,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E4%BA%95%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%91%E3%83%BC%E3%82%AF+%E3%82%89%E3%82%89%E3%81%BD%E3%83%BC%E3%81%A8TOKYO-BAY,Google Maps名称検索で施設一致。住所確認後に町丁目代表点で座標補助
イオンモール福原,奈良県,橿原市,found_google_maps_preferred,イオンモール橿原,奈良県,橿原市,奈良県橿原市曲川町7丁目20-1,34.506508,135.763473,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E6%A9%BF%E5%8E%9F,Google Mapsで部分一致する施設を優先。福原は橿原のOCR誤読として補正
JRセントラルタワーズ/JRゲートタワー,静岡県,静岡市,found_google_maps_preferred,JRセントラルタワーズ/JRゲートタワー,愛知県,名古屋市中村区,愛知県名古屋市中村区名駅1丁目1-4,35.170778,136.882494,https://www.google.com/maps/search/?api=1&query=JR%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA+JR%E3%82%B2%E3%83%BC%E3%83%88%E3%82%BF%E3%83%AF%E3%83%BC,Google Maps名称検索の所在地を優先し県市を補正
なんばCITY,京都府,亀岡市,found_google_maps_preferred,なんばCITY,大阪府,大阪市中央区,大阪府大阪市中央区難波5丁目1-60,34.664259,135.501411,https://www.google.com/maps/search/?api=1&query=%E3%81%AA%E3%82%93%E3%81%B0CITY,Google Maps名称検索の所在地を優先し県市を補正
mozo ワンダーシティ(モゾワンダーシティ),静岡県,静岡市,found_google_maps_preferred,mozo ワンダーシティ(モゾワンダーシティ),愛知県,名古屋市西区,愛知県名古屋市西区二方町40,35.226117,136.881835,https://www.google.com/maps/search/?api=1&query=mozo+%E3%83%AF%E3%83%B3%E3%83%80%E3%83%BC%E3%82%B7%E3%83%86%E3%82%A3,Google Maps名称検索の所在地を優先し県市を補正
ルミネ池袋・東武百貨店池袋店,千葉県,流山市,found_google_maps_preferred,ルミネ池袋・東武百貨店池袋店,東京都,豊島区,東京都豊島区西池袋1丁目11-1,35.73023,139.709358,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%83%9F%E3%83%8D%E6%B1%A0%E8%A2%8B+%E6%9D%B1%E6%AD%A6%E7%99%BE%E8%B2%A8%E5%BA%97%E6%B1%A0%E8%A2%8B%E5%BA%97,Google Mapsで部分一致する複合施設を優先。代表点はルミネ池袋住所
三井ショッピングバーク ららぽーと横浜,東京都,多摩市,found_google_maps_preferred,三井ショッピングパーク ららぽーと横浜,神奈川県,横浜市都筑区,神奈川県横浜市都筑区池辺町4035-1,35.523606,139.568671,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E4%BA%95%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%91%E3%83%BC%E3%82%AF+%E3%82%89%E3%82%89%E3%81%BD%E3%83%BC%E3%81%A8%E6%A8%AA%E6%B5%9C,Google Mapsで部分一致する施設を優先。バークはパークに補正
ヨドバシカメラ マルチメディア梅田、 LINKS UMEDA,京都府,亀岡市,found_google_maps_preferred,ヨドバシカメラ マルチメディア梅田、LINKS UMEDA,大阪府,大阪市北区,大阪府大阪市北区大深町1-1,34.704761,135.494368,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%83%89%E3%83%90%E3%82%B7%E3%82%AB%E3%83%A1%E3%83%A9+%E3%83%9E%E3%83%AB%E3%83%81%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E6%A2%85%E7%94%B0+LINKS+UMEDA,Google Maps名称検索の所在地を優先し県市を補正
モラージュ三浦,埼玉県,久喜市,found_google_maps_preferred,モラージュ菖蒲,埼玉県,久喜市,埼玉県久喜市菖蒲町菖蒲6005-1,36.0749843,139.6118684,https://www.google.com/maps/search/?api=1&query=%E3%83%A2%E3%83%A9%E3%83%BC%E3%82%B8%E3%83%A5%E8%8F%96%E8%92%B2,Google Mapsで部分一致する施設を優先。三浦は菖蒲のOCR誤読として補正
神戸ハーバーランドumie (神戸ハーバーランドウミエ),大阪府,門真市,found_google_maps_preferred,神戸ハーバーランドumie (神戸ハーバーランドウミエ),兵庫県,神戸市中央区,兵庫県神戸市中央区東川崎町1丁目7-2,34.679078,135.181963,https://www.google.com/maps/search/?api=1&query=神戸ハーバーランドumie,Google Maps名称検索の所在地を優先し県市を補正
JR博多シティ(アミュプラザ博多、博多阪急),愛媛県,西条市,found_google_maps_preferred,JR博多シティ(アミュプラザ博多、博多阪急),福岡県,福岡市博多区,福岡県福岡市博多区博多駅中央街1-1,33.589783,130.420591,https://www.google.com/maps/search/?api=1&query=JR博多シティ アミュプラザ博多 博多阪急,Google Maps名称検索の所在地を優先し県市を補正
イオンモール名古屋茶屋,静岡県,静岡市,found_google_maps_preferred,イオンモール名古屋茶屋,愛知県,名古屋市港区,愛知県名古屋市港区西茶屋2丁目11,35.103726,136.824923,https://www.google.com/maps/search/?api=1&query=イオンモール名古屋茶屋,Google Maps名称検索の所在地を優先し県市を補正
三井ショッピングパーク ららぽーと福岡,愛媛県,西条市,found_google_maps_preferred,三井ショッピングパーク ららぽーと福岡,福岡県,福岡市博多区,福岡県福岡市博多区那珂6丁目23-1,33.565086,130.439711,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと福岡,Google Maps名称検索の所在地を優先し県市を補正
ハーバーシティ蘇我(アリオ蘇我ほか),千葉県,千葉市,found_google_maps_preferred,ハーバーシティ蘇我(アリオ蘇我ほか),千葉県,千葉市中央区,千葉県千葉市中央区川崎町52-7,35.578899,140.094327,https://www.google.com/maps/search/?api=1&query=ハーバーシティ蘇我 アリオ蘇我,Google Mapsで部分一致する施設を優先
光が丘IMA (光が丘イマ),千葉県,流山市,found_google_maps_preferred,光が丘IMA (光が丘イマ),東京都,練馬区,東京都練馬区光が丘5丁目1-1,35.761495,139.627156,https://www.google.com/maps/search/?api=1&query=光が丘IMA,Google Maps名称検索の所在地を優先し県市を補正
キャナルシティ博多,愛媛県,西条市,found_google_maps_preferred,キャナルシティ博多,福岡県,福岡市博多区,福岡県福岡市博多区住吉1丁目2,33.589768,130.411069,https://www.google.com/maps/search/?api=1&query=キャナルシティ博多,Google Maps名称検索の所在地を優先し県市を補正
まーとEXPOCITY -と エキスポシティ),大阪府,大阪市北区,found_google_maps_preferred,ららぽーとEXPOCITY,大阪府,吹田市,大阪府吹田市千里万博公園2-1,34.807748,135.533154,https://www.google.com/maps/search/?api=1&query=ららぽーとEXPOCITY,Google Mapsで部分一致する施設を優先。OCR崩れを補正
イオンモール甲府昭和,石川県,昭和町,found_google_maps_preferred,イオンモール甲府昭和,山梨県,中巨摩郡昭和町,山梨県中巨摩郡昭和町飯喰1505-1,35.622814,138.522196,https://www.google.com/maps/search/?api=1&query=イオンモール甲府昭和,Google Maps名称検索の所在地を優先し県市を補正
イオンモール鈴鹿,三重県,鈴鹿市,found_google_maps_preferred,イオンモール鈴鹿,三重県,鈴鹿市,三重県鈴鹿市庄野羽山4丁目1-2,34.871619,136.529256,https://www.google.com/maps/search/?api=1&query=イオンモール鈴鹿,Google Maps名称検索で施設一致
FKDショッピングモール 宇都宮インターパーク,栃木県,宇部宮市,found_google_maps_preferred,FKDショッピングモール 宇都宮インターパーク,栃木県,宇都宮市,栃木県宇都宮市インターパーク6丁目1-1,36.487956,139.906514,https://www.google.com/maps/search/?api=1&query=FKDショッピングモール 宇都宮インターパーク,Google Maps名称検索で施設一致。宇部宮市は宇都宮市に補正
サンシャインシティ(アルパ・ALTA(アルタ)),東京都,豊島区,found_google_maps_preferred,サンシャインシティ(アルパ・ALTA(アルタ)),東京都,豊島区,東京都豊島区東池袋3丁目1-1,35.73061,139.719445,https://www.google.com/maps/search/?api=1&query=サンシャインシティ アルパ ALTA,Google Maps名称検索で施設一致
フューチャーシティ ファポーレ,神奈川県,海老名市,found_google_maps_preferred,フューチャーシティ ファボーレ,富山県,富山市,富山県富山市婦中町下轡田165-1,36.662492,137.174967,https://www.google.com/maps/search/?api=1&query=フューチャーシティ ファボーレ,Google Mapsで部分一致する施設を優先。ファポーレはファボーレに補正
イオンモール高知,高知県,高知市,found_google_maps_preferred,イオンモール高知,高知県,高知市,高知県高知市秦南町1丁目4-8,33.5755,133.543562,https://www.google.com/maps/search/?api=1&query=イオンモール高知,Google Maps名称検索で施設一致
三井ショッピングパーク アーパンドック ららぼーと特洲,千葉県,流山市,found_google_maps_preferred,三井ショッピングパーク アーバンドック ららぽーと豊洲,東京都,江東区,東京都江東区豊洲2丁目4-9,35.655271,139.792777,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク アーバンドック ららぽーと豊洲,Google Mapsで部分一致する施設を優先。OCR崩れを補正
日本橋高島屋S.C.,千葉県,流山市,found_google_maps_preferred,日本橋高島屋S.C.,東京都,中央区,東京都中央区日本橋2丁目4-1,35.681272,139.774266,https://www.google.com/maps/search/?api=1&query=日本橋高島屋S.C.,Google Maps名称検索の所在地を優先し県市を補正
イオンモール木告川,愛知県,一宮市,found_google_maps_preferred,イオンモール木曽川,愛知県,一宮市,愛知県一宮市木曽川町黒田字南八ツケ池25-1,35.343121,136.785526,https://www.google.com/maps/search/?api=1&query=イオンモール木曽川,Google Mapsで部分一致する施設を優先。木告川は木曽川に補正
TOKIWAわさだタウン,大分県,大分市,found_google_maps_preferred,トキハわさだタウン,大分県,大分市,大分県大分市玉沢755-1,33.18956,131.583537,https://www.google.com/maps/search/?api=1&query=トキハわさだタウン,Google Mapsで部分一致する施設を優先。TOKIWAはトキハに補正
港北TOKYU S.C.,東京都,多摩市,found_google_maps_preferred,港北TOKYU S.C.,神奈川県,横浜市都筑区,神奈川県横浜市都筑区茅ケ崎中央5-1,35.546939,139.573405,https://www.google.com/maps/search/?api=1&query=港北TOKYU S.C.,Google Maps名称検索の所在地を優先し県市を補正
ピナウォーク,神奈川県,相模原市,found_google_maps_preferred,ビナウォーク,神奈川県,海老名市,神奈川県海老名市中央1丁目4-1,35.453636,139.394716,https://www.google.com/maps/search/?api=1&query=ビナウォーク,Google Mapsで部分一致する施設を優先。ピナウォークはビナウォークに補正
セブンパークアリオ柏,千葉県,柏市,found_google_maps_preferred,セブンパークアリオ柏,千葉県,柏市,千葉県柏市大島田1丁目6-1,35.8324971,140.0133380,https://www.google.com/maps/search/?api=1&query=セブンパークアリオ柏,Google Maps名称検索で施設一致
イオンモール大高,静岡県,静岡市,found_google_maps_preferred,イオンモール大高,愛知県,名古屋市緑区,愛知県名古屋市緑区南大高2丁目450,35.053516,136.947185,https://www.google.com/maps/search/?api=1&query=イオンモール大高,Google Maps名称検索の所在地を優先し県市を補正
京都高島屋S.C.,京都府,京都市,found_google_maps_preferred,京都高島屋S.C.,京都府,京都市下京区,京都府京都市下京区四条通河原町西入真町52,35.003782,135.769789,https://www.google.com/maps/search/?api=1&query=京都高島屋S.C.,Google Maps名称検索で施設一致
KITTE博多(キッテ博多)(博多マルイ ほか),愛媛県,西条市,found_google_maps_preferred,KITTE博多(キッテ博多)(博多マルイ ほか),福岡県,福岡市博多区,福岡県福岡市博多区博多駅中央街9-1,33.589783,130.420591,https://www.google.com/maps/search/?api=1&query=KITTE博多 博多マルイ,Google Maps名称検索の所在地を優先し県市を補正
たまプラーザ テラス,東京都,多摩市,found_google_maps_preferred,たまプラーザ テラス,神奈川県,横浜市青葉区,神奈川県横浜市青葉区美しが丘1丁目1-2,35.579973,139.555379,https://www.google.com/maps/search/?api=1&query=たまプラーザ テラス,Google Maps名称検索の所在地を優先し県市を補正
三井ショッピングバーク ららぽーと立川立飛,東京都,立川市,found_google_maps_preferred,三井ショッピングパーク ららぽーと立川立飛,東京都,立川市,東京都立川市泉町935-1,35.7122992,139.4174305,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと立川立飛,Google Mapsで部分一致する施設を優先。バークはパークに補正
と愛知東獄,滋賀県,東郷町,found_google_maps_preferred,三井ショッピングパーク ららぽーと愛知東郷,愛知県,愛知郡東郷町,愛知県愛知郡東郷町東郷中央土地区画整理事業62街区1・3,35.0993476,137.0466670,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと愛知東郷,Google Mapsで部分一致する施設を優先。OCR崩れを補正
御段場プレミアム・アウトレット,静岡県,御殿場市,found_google_maps_preferred,御殿場プレミアム・アウトレット,静岡県,御殿場市,静岡県御殿場市深沢1312,35.3077919,138.9650827,https://www.google.com/maps/search/?api=1&query=御殿場プレミアム・アウトレット,Google Mapsで部分一致する施設を優先。御段場は御殿場に補正
三井ショッピングバーク ららぽーと安城,愛知県,安城市,found_google_maps_preferred,三井ショッピングパーク ららぽーと安城,愛知県,安城市,愛知県安城市大東町9-30,34.9650947,137.0805238,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと安城,Google Mapsで部分一致する施設を優先。バークはパークに補正
一と甲子園,兵庫県,西宮市,found_google_maps_preferred,三井ショッピングパーク ららぽーと甲子園,兵庫県,西宮市,兵庫県西宮市甲子園八番町1-100,34.7185166,135.3635003,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと甲子園,Google Mapsで部分一致する施設を優先。OCR崩れを補正
イオンモール染名、ANQ (アンク)専門店街,三重県,桑名市,found_google_maps_preferred,イオンモール桑名、ANQ専門店街,三重県,桑名市,三重県桑名市新西方1丁目22,35.072209,136.662932,https://www.google.com/maps/search/?api=1&query=イオンモール桑名 ANQ専門店街,Google Mapsで部分一致する施設を優先。染名は桑名に補正
シーモール下関,山口県,下関市,found_google_maps_preferred,シーモール下関,山口県,下関市,山口県下関市竹崎町4丁目4-8,33.949555,130.924361,https://www.google.com/maps/search/?api=1&query=シーモール下関,Google Maps名称検索で施設一致
フェアモール福井 (アピタ、ラブリーパートナーエルパ),福井県,福井市,found_google_maps_preferred,フェアモール福井 (アピタ、ラブリーパートナーエルパ),福井県,福井市,福井県福井市大和田2丁目1212,36.09696,136.250196,https://www.google.com/maps/search/?api=1&query=フェアモール福井 アピタ ラブリーパートナーエルパ,Google Maps名称検索で施設一致
三井ショッピングパーク ららぽーと名古屋みなとアクルス,静岡県,静岡市,found_google_maps_preferred,三井ショッピングパーク ららぽーと名古屋みなとアクルス,愛知県,名古屋市港区,愛知県名古屋市港区港明2丁目3-2,35.109599,136.88337,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと名古屋みなとアクルス,Google Maps名称検索の所在地を優先し県市を補正
三井ショッピングバーク ららぽーと新三郷,埼玉県,三郷市,found_google_maps_preferred,三井ショッピングパーク ららぽーと新三郷,埼玉県,三郷市,埼玉県三郷市新三郷ららシティ3丁目1-1,35.860766,139.864775,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと新三郷,Google Mapsで部分一致する施設を優先。バークはパークに補正
千葉 県 ベリエ千葉,千葉県,千葉市,found_google_maps_preferred,ペリエ千葉,千葉県,千葉市中央区,千葉県千葉市中央区新千葉1丁目1-1,35.610491,140.11344,https://www.google.com/maps/search/?api=1&query=ペリエ千葉,Google Mapsで部分一致する施設を優先。OCR崩れを補正
(西武東戸塚S.C.、イオンスタイル東戸塚),東京都,多摩市,found_google_maps_preferred,西武東戸塚S.C.、イオンスタイル東戸塚,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区品濃町537-1,35.434555,139.559755,https://www.google.com/maps/search/?api=1&query=西武東戸塚S.C. イオンスタイル東戸塚,Google Mapsで部分一致する施設を優先し県市を補正
グンゼタウンセンター つかしん,兵庫県,尼崎市,found_google_maps_preferred,グンゼタウンセンター つかしん,兵庫県,尼崎市,兵庫県尼崎市塚口本町4丁目8-1,34.761963,135.418314,https://www.google.com/maps/search/?api=1&query=グンゼタウンセンター つかしん,Google Maps名称検索で施設一致
イオンモール東員,三重県,東員町,found_google_maps_preferred,イオンモール東員,三重県,員弁郡東員町,三重県員弁郡東員町長深510-1,35.059309,136.578508,https://www.google.com/maps/search/?api=1&query=イオンモール東員,Google Maps名称検索で施設一致。郡名付き自治体に補正
心斎橋PARCO,京都府,亀岡市,found_google_maps_preferred,心斎橋PARCO,大阪府,大阪市中央区,大阪府大阪市中央区心斎橋筋1丁目8-3,34.673453,135.501351,https://www.google.com/maps/search/?api=1&query=心斎橋PARCO,Google Maps名称検索の所在地を優先し県市を補正
イオン明石ショッピングセンター,兵庫県,明石市,found_google_maps_preferred,イオン明石ショッピングセンター,兵庫県,明石市,兵庫県明石市大久保町ゆりのき通3丁目3-1,34.678043,134.935735,https://www.google.com/maps/search/?api=1&query=イオン明石ショッピングセンター,Google Maps名称検索で施設一致
JR Cross東京店 エキント+大丸,東京都,,found_google_maps_preferred,JR東京駅 エキュート東京+大丸東京店,東京都,千代田区,東京都千代田区丸の内1丁目9-1,35.68156,139.767201,https://www.google.com/maps/search/?api=1&query=JR東京駅 エキュート東京 大丸東京店,Google Mapsで部分一致する施設を優先。OCR崩れを補正
ノースポート・モール,東京都,多摩市,found_google_maps_preferred,ノースポート・モール,神奈川県,横浜市都筑区,神奈川県横浜市都筑区中川中央1丁目25-1,35.553232,139.578386,https://www.google.com/maps/search/?api=1&query=ノースポート・モール,Google Maps名称検索の所在地を優先し県市を補正
三井ショッピングパーク ららぽーと和泉,大阪府,和泉市,found_google_maps_preferred,三井ショッピングパーク ららぽーと和泉,大阪府,和泉市,大阪府和泉市あゆみ野4丁目4-7,34.436157,135.448165,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと和泉,Google Maps名称検索で施設一致
LUCUA大阪(ルクア大阪),京都府,亀岡市,found_google_maps_preferred,LUCUA大阪(ルクア大阪),大阪府,大阪市北区,大阪府大阪市北区梅田3丁目1-3,34.700837,135.493878,https://www.google.com/maps/search/?api=1&query=LUCUA大阪 ルクア大阪,Google Maps名称検索の所在地を優先し県市を補正
スマーク伊多崎,群馬県,伊勢崎市,found_google_maps_preferred,スマーク伊勢崎,群馬県,伊勢崎市,群馬県伊勢崎市西小保方町368,36.343438,139.234172,https://www.google.com/maps/search/?api=1&query=スマーク伊勢崎,Google Mapsで部分一致する施設を優先。伊多崎は伊勢崎に補正
東京ソラマチ,千葉県,流山市,found_google_maps_preferred,東京ソラマチ,東京都,墨田区,東京都墨田区押上1丁目1-2,35.710776,139.813826,https://www.google.com/maps/search/?api=1&query=東京ソラマチ,Google Maps名称検索の所在地を優先し県市を補正
三井ショッピングバーク ららぽーと海老名,神奈川県,相模原市,found_google_maps_preferred,三井ショッピングパーク ららぽーと海老名,神奈川県,海老名市,神奈川県海老名市扇町13-1,35.455726,139.388738,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと海老名,Google Mapsで部分一致する施設を優先。バークはパークに補正し自治体も補正
イオンモール新潟田インター,新潟県,新潟市,found_google_maps_preferred,イオンモール新潟南,新潟県,新潟市江南区,新潟県新潟市江南区下早通柳田1丁目1-1,37.876559,139.080957,https://www.google.com/maps/search/?api=1&query=イオンモール新潟南,Google Mapsで部分一致する施設を優先。OCR崩れを補正
ツ ト,大阪府,泉佐野市,found_google_maps_preferred,りんくうプレミアム・アウトレット,大阪府,泉佐野市,大阪府泉佐野市りんくう往来南3-28,34.407448,135.296404,https://www.google.com/maps/search/?api=1&query=りんくうプレミアム・アウトレット,Google Mapsで部分一致する施設を優先。OCR崩れを補正
イオンモール徳島,徳島県,徳島市,found_google_maps_preferred,イオンモール徳島,徳島県,徳島市,徳島県徳島市南末広町4-1,34.060616,134.575296,https://www.google.com/maps/search/?api=1&query=イオンモール徳島,Google Maps名称検索で施設一致
三井ショッピングパーク ららぽーと相の楽,千葉県,柏市,found_google_maps_preferred,三井ショッピングパーク ららぽーと柏の葉,千葉県,柏市,千葉県柏市若柴175,35.891657,139.954,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと柏の葉,Google Mapsで部分一致する施設を優先。OCR崩れを補正
アミュプラザくまもと,熊本県,熊本市西区,found_google_maps_preferred,アミュプラザくまもと,熊本県,熊本市西区,熊本県熊本市西区春日3丁目15-26,32.789437,130.68798,https://www.google.com/maps/search/?api=1&query=アミュプラザくまもと,Google Maps名称検索で施設一致
イーアス春日井,愛知県,春日井市,found_google_maps_preferred,イーアス春日井,愛知県,春日井市,愛知県春日井市六軒屋町東丘22,35.258135,136.981433,https://www.google.com/maps/search/?api=1&query=イーアス春日井,Google Maps名称検索で施設一致
三井ショッピングバーク ららぽーと増田,静岡県,磐田市,found_google_maps_preferred,三井ショッピングパーク ららぽーと磐田,静岡県,磐田市,静岡県磐田市高見丘1200,34.750247,137.840972,https://www.google.com/maps/search/?api=1&query=三井ショッピングパーク ららぽーと磐田,Google Mapsで部分一致する施設を優先。OCR崩れを補正
アリオ周,大阪府,堺市,found_google_maps_preferred,アリオ鳳,大阪府,堺市西区,大阪府堺市西区鳳南町3丁199-12,34.525884,135.457282,https://www.google.com/maps/search/?api=1&query=アリオ鳳,Google Mapsで部分一致する施設を優先。OCR崩れを補正
イオンモール小牧,北海道,苫小牧市,found_google_maps_preferred,イオンモール苫小牧,北海道,苫小牧市,北海道苫小牧市柳町3丁目1-20,42.656538,141.64175,https://www.google.com/maps/search/?api=1&query=イオンモール苫小牧,Google Mapsで部分一致する施設を優先。小牧は苫小牧のOCR崩れとして補正
イオンモール品取北,鳥取県,鳥取市,found_google_maps_preferred,イオンモール鳥取北,鳥取県,鳥取市,鳥取県鳥取市晩稲348,35.524995,134.202929,https://www.google.com/maps/search/?api=1&query=イオンモール鳥取北,Google Mapsで部分一致する施設を優先。品取は鳥取のOCR崩れとして補正
